,Дата,Горизонт,Температура,"прозрачность, м",Chl_a,,
469,1951-06-29 00:00:00,25,"3,8",,,,
470,1951-06-29 00:00:00,50,"3,8",,,,
471,1951-06-30 00:00:00,0,4,,,,
472,1951-06-30 00:00:00,10,"3,8",,,,
473,1951-06-30 00:00:00,25,"3,8",,,,
474,1951-06-30 00:00:00,50,"3,8",,,,
475,1951-07-10 00:00:00,0,"6,6",,,,
476,1951-07-10 00:00:00,10,"4,6",,,,
477,1951-07-10 00:00:00,25,"4,4",,,,
478,1951-07-10 00:00:00,50,"4,2",,,,
479,1951-07-10 00:00:00,100,"3,9",,,,
480,1951-07-10 00:00:00,250,"3,7",,,,
481,1951-07-20 00:00:00,0,8,,,,
482,1951-07-20 00:00:00,10,"7,06",,,,
483,1951-07-20 00:00:00,25,"4,24",,,,
484,1951-07-20 00:00:00,50,"4,06",,,,
485,1951-07-20 00:00:00,100,"3,86",,,,
486,1951-07-20 00:00:00,200,"3,68",,,,
487,1951-08-20 00:00:00,0,"9,98",,,,
488,1951-08-20 00:00:00,10,"7,13",,,,
489,1951-08-20 00:00:00,25,"6,55",,,,
490,1951-08-20 00:00:00,50,"4,82",,,,
491,1951-08-20 00:00:00,100,"4,52",,,,
492,1951-08-20 00:00:00,200,"3,77",,,,
493,1951-09-03 00:00:00,0,"7,12",,,,
494,1951-09-03 00:00:00,10,"6,08",,,,
495,1951-09-03 00:00:00,25,"5,44",,,,
496,1951-09-03 00:00:00,50,"4,55",,,,
497,1951-09-03 00:00:00,100,"4,28",,,,
498,1951-09-03 00:00:00,200,"3,89",,,,
499,1951-09-20 00:00:00,0,"6,88",,,,
500,1951-09-20 00:00:00,10,"6,69",,,,
501,1951-09-20 00:00:00,25,"6,68",,,,
502,1951-09-20 00:00:00,50,"5,86",,,,
503,1951-09-20 00:00:00,100,"5,29",,,,
504,1951-09-20 00:00:00,200,"3,97",,,,
505,1951-10-29 00:00:00,0,"5,6",,,,
506,1951-10-29 00:00:00,25,"5,4",,,,
